Date,Open,High,Low,Close,(High-Low),(Open-Close)
04-10-2023,18622.82,18664.56,18498.46,18603.31,166.1,19.51
03-10-2023,18656.22,18712.04,18563.62,18585.98,148.42,70.24
29-09-2023,18655.47,18727.24,18565.53,18679.41,161.71,-23.94
28-09-2023,18999.62,18999.62,18556.68,18583.57,442.94,416.05
27-09-2023,18793.1,18930.05,18671.76,18912.21,258.29,-119.11
26-09-2023,18727.16,18787.82,18689.23,18767.8,98.59,-40.64
25-09-2023,18646.65,18729.75,18586.36,18686.83,143.39,-40.18
22-09-2023,18688.26,18710.67,18577.19,18663.9,133.48,24.36
21-09-2023,18769.55,18800.31,18597.05,18694.01,203.26,75.54
20-09-2023,18822.8,18837.76,18758.16,18803.34,79.6,19.46
18-09-2023,18811.83,18917.25,18774.02,18881.92,143.23,-70.09
15-09-2023,18855.93,18897.67,18769.07,18797.96,128.6,57.97
14-09-2023,18926.24,18956.04,18794.72,18878.94,161.32,47.3
13-09-2023,18763.45,18917.16,18755.48,18869.24,161.68,-105.79
12-09-2023,18967.76,18984.43,18690.47,18798.82,293.96,168.94
11-09-2023,18795.63,18932.54,18771.22,18906.48,161.32,-110.85
08-09-2023,18807.86,18814.08,18716.64,18742.62,97.44,65.24
07-09-2023,18825.17,18842.37,18751.32,18765.73,91.05,59.44
06-09-2023,18641.77,18856.04,18639.76,18834.67,216.28,-192.9
05-09-2023,18533.27,18664.69,18532.98,18639,131.71,-105.73
04-09-2023,18515.07,18573.3,18426.26,18505.97,147.04,9.1
01-09-2023,18503.72,18547.11,18453.4,18515.25,93.71,-11.53
31-08-2023,18621.33,18650.57,18401.8,18464.75,248.77,156.58
30-08-2023,18507.37,18620.61,18507.37,18597.52,113.24,-90.15
29-08-2023,18566.81,18600.48,18485.35,18500.01,115.13,66.8
28-08-2023,18610.82,18644.36,18537.13,18558.43,107.23,52.39
25-08-2023,18757.3,18757.3,18560.43,18609.46,196.87,147.84
24-08-2023,18793.02,18829.98,18757.22,18780.65,72.76,12.37
23-08-2023,18867.32,18874.29,18710.82,18727.91,163.47,139.41
22-08-2023,18693.57,18836.44,18655.02,18809.28,181.42,-115.71
21-08-2023,18525.33,18698.39,18525.33,18678.93,173.06,-153.6
18-08-2023,18509.79,18604.91,18465.33,18566.32,139.58,-56.53
17-08-2023,18680.69,18698.94,18493.13,18518.93,205.81,161.76
16-08-2023,18604.32,18718.43,18574.92,18691.99,143.51,-87.67
14-08-2023,18506.14,18651.36,18394.46,18611.79,256.9,-105.65
11-08-2023,18689.71,18705.99,18514.31,18539.62,191.68,150.09
10-08-2023,18831.86,18852.68,18632.94,18674.82,219.74,157.04
09-08-2023,18704.86,18860.1,18628.95,18841.04,231.15,-136.18
08-08-2023,18785.76,18844.71,18671.22,18726.49,173.49,59.27
07-08-2023,18743.82,18807.72,18698.67,18781.33,109.05,-37.51
04-08-2023,18789.3,18926.98,18767.19,18777.77,159.79,11.53
03-08-2023,18843.65,18900.6,18715.85,18764.83,184.75,78.82
02-08-2023,18924.49,18944.18,18778.54,18868.94,165.64,55.55
01-08-2023,19001.69,19051.16,18931.61,18947.26,119.55,54.43
31-07-2023,19066.31,19091.09,18945.93,18986.42,145.16,79.89
28-07-2023,18998.3,19090.9,18923.55,19069.15,167.35,-70.85
27-07-2023,19082.99,19126.94,18833.85,18909.03,293.09,173.96
26-07-2023,18888.91,19092.59,18888.91,19049.31,203.68,-160.4
25-07-2023,19012.94,19012.94,18737.73,18855.9,275.21,157.04
24-07-2023,19347.33,19423.75,18956.15,18998.83,467.6,348.5
21-07-2023,19456.89,19552.77,19279.33,19335.75,273.44,121.14
20-07-2023,19247.57,19532.06,19175.57,19510.29,356.49,-262.72
19-07-2023,19117.46,19259.89,19065.92,19230.51,193.97,-113.05
18-07-2023,19156.2,19250.88,19109.45,19148.55,141.43,7.65
17-07-2023,19171.88,19301.82,19154.93,19183.34,146.89,-11.46
14-07-2023,19060.19,19210.77,19054.85,19173.93,155.92,-113.74
13-07-2023,19113.24,19212.7,18992.66,19024.33,220.04,88.91
12-07-2023,19142.42,19201.39,18999.04,19118.7,202.35,23.72
11-07-2023,18842.12,19149.61,18842.12,19085.81,307.49,-243.69
10-07-2023,19010.4,19058.24,18840.59,18857.87,217.65,152.53
07-07-2023,19254.33,19286.73,18962.81,18985.54,323.92,268.79
06-07-2023,19286.52,19318.33,19195.52,19265.69,122.81,20.83
05-07-2023,18909.25,19289.82,18898.38,19259.69,391.44,-350.44
04-07-2023,18942.28,18958.36,18790.91,18935.52,167.45,6.76
03-07-2023,18620.22,18948.53,18620.14,18894.7,328.39,-274.48
30-06-2023,18585.56,18707.11,18553.83,18690.49,153.28,-104.93
28-06-2023,18471.28,18622.64,18471.28,18595.36,151.36,-124.08
27-06-2023,18493.96,18571.43,18454.81,18493.6,116.62,0.36
26-06-2023,18369.37,18600.3,18368.87,18497.55,231.43,-128.18
23-06-2023,18482.42,18493.82,18334.97,18387.38,158.85,95.04
22-06-2023,18591.44,18609.04,18481.73,18498.95,127.31,92.49
21-06-2023,18690.29,18776.09,18550.14,18604.21,225.95,86.08
20-06-2023,18648.14,18713.35,18563.08,18690.88,150.27,-42.74
19-06-2023,18769.51,18807.95,18651.77,18666.9,156.18,102.61
16-06-2023,18644.79,18802.5,18642.4,18769.33,160.1,-124.54
15-06-2023,18540.41,18695.2,18540.41,18620.8,154.79,-80.39
14-06-2023,18392.22,18551.14,18391.83,18525.35,159.31,-133.13
13-06-2023,18210.66,18475.24,18195.92,18431.79,279.32,-221.13
12-06-2023,18176.36,18208.31,18111.2,18180.22,97.11,-3.86
09-06-2023,18187.74,18403.52,18137.54,18162.55,265.98,25.19
08-06-2023,18482.45,18502.97,18299.55,18312.75,203.42,169.7
07-06-2023,18267.08,18486.79,18267.08,18461.71,219.71,-194.63
06-06-2023,18277.95,18306.16,18184.89,18267.37,121.27,10.58
05-06-2023,18359.99,18429.88,18258.11,18270.26,171.77,89.73
02-06-2023,18265.87,18389.35,18261.24,18348.97,128.11,-83.1
01-06-2023,18268.9,18373.42,18221.57,18242.43,151.85,26.47
31-05-2023,18216.43,18299.42,18137.19,18253.41,162.23,-36.98
30-05-2023,18130.84,18277.76,18126.93,18240.09,150.83,-109.25
29-05-2023,18148.24,18295.17,18148.24,18215.62,146.93,-67.38
26-05-2023,17915.51,18138.28,17892.82,18127.4,245.46,-211.89
25-05-2023,17782.49,17942.41,17782.49,17895.95,159.92,-113.46
24-05-2023,17680.11,17805.69,17670.09,17773.79,135.6,-93.68
23-05-2023,17656.08,17764.28,17656.08,17697.31,108.2,-41.23
22-05-2023,17526.64,17675.14,17526.62,17649.04,148.52,-122.4
19-05-2023,17590.05,17602.84,17409.88,17581.28,192.96,8.77
18-05-2023,17808.64,17877.7,17545.29,17569.93,332.41,238.71
17-05-2023,17749.71,17778.56,17671.07,17757.5,107.49,-7.79
16-05-2023,17814.31,17845.64,17726.01,17738.11,119.63,76.2
15-05-2023,17588.79,17822.25,17573.28,17782.13,248.97,-193.34
12-05-2023,17553.92,17689.17,17496.87,17590.55,192.3,-36.63
11-05-2023,17571.6,17585.93,17443.98,17566.14,141.95,5.46
10-05-2023,17377.46,17517.14,17377.37,17497.5,139.77,-120.04
09-05-2023,17545.34,17547.48,17363.73,17413.67,183.75,131.67
08-05-2023,17425.05,17546.04,17410.22,17489.76,135.82,-64.71
05-05-2023,17295.79,17427.22,17295.77,17375.67,131.45,-79.88
04-05-2023,17321.46,17364.95,17293.72,17328.38,71.23,-6.92
03-05-2023,17221.19,17382.93,17181.99,17344.72,200.94,-123.53
02-05-2023,17281.5,17350.07,17206.8,17225.03,143.27,56.47
28-04-2023,17076.3,17297.8,16982.25,17238.74,315.55,-162.44
27-04-2023,17061.13,17114.16,17020.99,17073.86,93.17,-12.73
26-04-2023,16928.29,17096.74,16918.06,17060.66,178.68,-132.37
25-04-2023,16919.13,16987.65,16874.25,16956.98,113.4,-37.85
24-04-2023,16846.25,16924.62,16767.91,16911.79,156.71,-65.54
21-04-2023,16621.02,16843.71,16621.02,16831.23,222.69,-210.21
20-04-2023,16709.6,16819.47,16665.38,16691.9,154.09,17.7
19-04-2023,16730.47,16782.64,16668.47,16734.66,114.17,-4.19
18-04-2023,16818.98,16841.01,16727.7,16763.26,113.31,55.72
17-04-2023,16675.63,16861.33,16639.59,16810.04,221.74,-134.41
13-04-2023,16615.93,16727.7,16606.84,16647.47,120.86,-31.54
12-04-2023,16702.43,16711.77,16583.15,16614.32,128.62,88.11
11-04-2023,16547.29,16697.61,16514.64,16672,182.97,-124.71
10-04-2023,16557.08,16620.38,16508.12,16535.7,112.26,21.38
06-04-2023,16633.82,16662.82,16563.34,16590.58,99.48,43.24
05-04-2023,16409.77,16675.38,16405.43,16657.21,269.95,-247.44
03-04-2023,16508.59,16526.25,16365.84,16434.78,160.41,73.81
31-03-2023,16330.64,16501.53,16328.28,16487.02,173.25,-156.38
29-03-2023,16094.27,16337.35,16094.27,16304.36,243.08,-210.09
28-03-2023,16205.76,16259.64,16121.23,16140.08,138.41,65.68
27-03-2023,16125.15,16289.59,16125.15,16208.34,164.44,-83.19
24-03-2023,16238.67,16306.39,16164.98,16192.81,141.41,45.86
23-03-2023,16188.93,16329.01,16142.75,16259.93,186.26,-71
22-03-2023,16176.19,16227.38,16128.45,16215.22,98.93,-39.03
21-03-2023,16261.26,16279.3,16114.05,16150.99,165.25,110.27
20-03-2023,16038.35,16261.44,15966.13,16242.54,295.31,-204.19
17-03-2023,16245.37,16281.15,16045.8,16145.57,235.35,99.8
16-03-2023,16027.95,16210.24,16019.68,16190.39,190.56,-162.44
15-03-2023,16153.86,16241.91,16016.48,16031.27,225.43,122.59
14-03-2023,16215.3,16266.02,16086.27,16117.85,179.75,97.45
13-03-2023,16327.98,16448.1,16185.28,16218.11,262.82,109.87
10-03-2023,16314.7,16406.87,16244.14,16373.45,162.73,-58.75
09-03-2023,16533.67,16542.8,16342.01,16368.11,200.79,165.56
08-03-2023,16334.72,16545.17,16332,16520.89,213.17,-186.17
06-03-2023,16391.48,16506.81,16381.29,16436.33,125.52,-44.85
03-03-2023,16186.77,16374.76,16185.65,16356.12,189.11,-169.35
02-03-2023,16229.81,16252.07,16122.05,16152.75,130.02,77.06
01-03-2023,16136.72,16248.1,16130.37,16223.5,117.73,-86.78
28-02-2023,16173.34,16266.57,16067.88,16162.14,198.69,11.2
27-02-2023,16295.91,16326.03,16100.06,16197.58,225.97,98.33
24-02-2023,16415.25,16444.7,16255.09,16322.23,189.61,93.02
23-02-2023,16346.96,16536.86,16278.16,16388.06,258.7,-41.1
22-02-2023,16378.56,16415.18,16326.87,16346.58,88.31,31.98
21-02-2023,16446.56,16517.76,16394.93,16411.59,122.83,34.97
20-02-2023,16477.67,16547.33,16376.27,16405.56,171.06,72.11
17-02-2023,16446.92,16504.41,16370.76,16450.67,133.65,-3.75
16-02-2023,16537.5,16569.62,16461.93,16493.29,107.69,44.21
15-02-2023,16429.04,16510.3,16351.81,16494.63,158.49,-65.59
14-02-2023,16411.26,16585.27,16403.06,16552.1,182.21,-140.84
13-02-2023,16408.96,16447.64,16328.82,16402.72,118.82,6.24
10-02-2023,16414.88,16474.01,16351.37,16409.63,122.64,5.25
09-02-2023,16510.5,16579.44,16444.73,16462.91,134.71,47.59
08-02-2023,16496.93,16557.13,16440.9,16496.77,116.23,0.16
07-02-2023,16691.27,16698.94,16411.51,16477.25,287.43,214.02
06-02-2023,16621.43,16699.98,16530.11,16664.99,169.87,-43.56
03-02-2023,16633.17,16667.9,16411.01,16581.86,256.89,51.31
02-02-2023,16245.02,16627.11,16234.61,16585.04,392.5,-340.02
01-02-2023,16167.14,16375.48,15781.79,16231.6,593.69,-64.46
31-01-2023,15988.23,16165.13,15829.32,16108.25,335.81,-120.02
30-01-2023,16067.72,16128.46,15905.79,15994.48,222.67,73.24
27-01-2023,16091.41,16171.56,15974.52,16107.66,197.04,-16.25
25-01-2023,16070.47,16114.96,15992.3,16082.11,122.66,-11.64
24-01-2023,16089.26,16142.52,16065.2,16102.74,77.32,-13.48
23-01-2023,15967.75,16090.33,15945.43,16078.97,144.9,-111.22
20-01-2023,15970.19,16047.47,15912.09,15963.17,135.38,7.02
19-01-2023,16193.81,16236.67,16056.13,16109.98,180.54,83.83
18-01-2023,16166.5,16274,16166.5,16245.06,107.5,-78.56
17-01-2023,16009.2,16196.44,15997.99,16174.67,198.45,-165.47
16-01-2023,15989.72,16034.07,15951.97,15991.13,82.1,-1.41
13-01-2023,16015.98,16072.52,15915.36,15988.21,157.16,27.77
12-01-2023,16061.74,16084.82,15931.73,15982.78,153.09,78.96
11-01-2023,16215.53,16247.24,16031.03,16044.88,216.21,170.65
10-01-2023,16262.74,16266.93,16159.15,16203.2,107.78,59.54
09-01-2023,16175.66,16312.38,16175.14,16270.68,137.24,-95.02
06-01-2023,16144.05,16238.08,16090.03,16132.43,148.05,11.62
05-01-2023,15943.43,16170.88,15943.43,16128.07,227.45,-184.64
04-01-2023,16060.38,16073.09,15887.2,15911.76,185.89,148.62
03-01-2023,16085.26,16103.89,15997.68,16028.02,106.21,57.24
02-01-2023,16115.16,16126.35,16023.87,16085.6,102.48,29.56
30-12-2022,16201.54,16258.9,16048.17,16075.3,210.73,126.24
29-12-2022,16156.48,16203.73,16031.27,16170.29,172.46,-13.81
28-12-2022,16186.47,16201.22,16119.03,16190.02,82.19,-3.55
27-12-2022,16273.47,16310.84,16141.31,16163.77,169.53,109.7
26-12-2022,15919.3,16240.7,15919.3,16198.82,321.4,-279.52
23-12-2022,16187.89,16275.49,15991.53,16006.41,283.96,181.48
22-12-2022,16430.88,16531.63,16265.84,16321.29,265.79,109.59
21-12-2022,16683.85,16687.4,16398.99,16435.79,288.41,248.06
20-12-2022,16620.78,16675.65,16515.59,16618.45,160.06,2.33
19-12-2022,16506.25,16723.16,16505.92,16713.36,217.24,-207.11
16-12-2022,16522.45,16551.04,16403.36,16478.39,147.68,44.06
15-12-2022,16663.46,16714.95,16507.51,16543.28,207.44,120.18
14-12-2022,16768.48,16811.25,16661.33,16701.41,149.92,67.07
13-12-2022,16804.01,16810.14,16729.08,16762.76,81.06,41.25
12-12-2022,16683.93,16785.52,16683.93,16768.83,101.59,-84.9
09-12-2022,16697.18,16779.73,16637.61,16748.57,142.12,-51.39
08-12-2022,16614.63,16716.93,16593.33,16629.94,123.6,-15.31
07-12-2022,16484.42,16686.65,16484.42,16628.89,202.23,-144.47
06-12-2022,16358.28,16498.24,16351.54,16485.72,146.7,-127.44
05-12-2022,16408.89,16454.96,16307.87,16432.28,147.09,-23.39
02-12-2022,16438.53,16482.03,16373.38,16424.59,108.65,13.94
01-12-2022,16567.37,16593.77,16437.44,16495.91,156.33,71.46
30-11-2022,16397.39,16620.24,16390.89,16525.65,229.35,-128.26
29-11-2022,16067.81,16415.62,16067.81,16385.04,347.81,-317.23
28-11-2022,16049.25,16129.58,16021.8,16105.93,107.78,-56.68
25-11-2022,16102.69,16118.56,15979.47,16059.19,139.09,43.5
24-11-2022,15979.28,16140.44,15979.28,16089.8,161.16,-110.52
23-11-2022,16012.86,16022.83,15928.49,15954.1,94.34,58.76
22-11-2022,15828.17,15976.24,15828.17,15965.53,148.07,-137.36
21-11-2022,15894.48,15904.69,15821.43,15874.22,83.26,20.26
18-11-2022,15963.41,15998.66,15833.51,15925.45,165.15,37.96
17-11-2022,15992.72,16051.3,15937.48,15961.1,113.82,31.62
16-11-2022,15979.24,16028.74,15901.28,15997.07,127.46,-17.83
15-11-2022,15996.08,16052.7,15850.17,15994.23,202.53,1.85
14-11-2022,16189.87,16258.69,15991.3,15999.73,267.39,190.14
11-11-2022,16377.01,16377.01,16181.63,16208.71,195.38,168.3
10-11-2022,16295.14,16368.06,16168.78,16225.08,199.28,70.06
09-11-2022,16281.81,16410.95,16276.52,16334.26,134.43,-52.45
07-11-2022,16243.48,16390.87,16197.92,16298.81,192.95,-55.33
04-11-2022,16225.16,16310.92,16194.99,16224.04,115.93,1.12
03-11-2022,16193.41,16318.85,16190.13,16269.47,128.72,-76.06
02-11-2022,16241.67,16328.98,16169.73,16224.57,159.25,17.1
01-11-2022,16169.83,16255.59,16169.83,16237.15,85.76,-67.32
31-10-2022,16075.51,16192.53,16055.89,16131.19,136.64,-55.68
28-10-2022,16042.73,16126.95,15985.91,16019.37,141.04,23.36
27-10-2022,16003.58,16082.68,15926.51,16038.03,156.17,-34.45
25-10-2022,16185.71,16199.25,15951.23,15979.32,248.02,206.39
24-10-2022,16210.47,16213.63,16115.34,16156.93,98.29,53.54
21-10-2022,16259.71,16318.02,16104.66,16163.67,213.36,96.04
20-10-2022,16021.1,16213.45,16019.77,16183.19,193.68,-162.09
19-10-2022,16047.44,16110.95,15975.44,16051.92,135.51,-4.48
18-10-2022,15826.14,16036.34,15826.14,15985.25,210.2,-159.11
17-10-2022,15735.99,15864.37,15686.4,15792.13,177.97,-56.14
14-10-2022,15849.02,15959.09,15761.12,15775.01,197.97,74.01
13-10-2022,15776.01,15844.24,15728.07,15736.52,116.17,39.49
12-10-2022,15615.99,15827.74,15579.01,15809.38,248.73,-193.39
11-10-2022,15878.07,15899.2,15568.84,15593.55,330.36,284.52
10-10-2022,15835.84,15888.1,15753.66,15864.66,134.44,-28.82
07-10-2022,16100.87,16120.18,15936.93,16025.77,183.25,75.1
06-10-2022,16169.14,16227.13,16080.82,16109.55,146.31,59.59
04-10-2022,15997.86,16153.13,15996.24,16138.09,156.89,-140.23
03-10-2022,16182.35,16255.36,15816.97,15849.08,438.39,333.27
30-09-2022,16079.2,16237.41,16039.29,16180.06,198.12,-100.86
29-09-2022,16092.54,16218.83,16085.12,16152.02,133.71,-59.48
28-09-2022,16005.77,16126.69,15918.18,15998.56,208.51,7.21
27-09-2022,16041.75,16244.64,16041.64,16104.06,203,-62.31
26-09-2022,16238.04,16334.07,15977.94,16011.37,356.13,226.67
23-09-2022,16494.35,16523.35,16335.26,16363.96,188.09,130.39
22-09-2022,16183.12,16509.88,16183.12,16465.88,326.76,-282.76
21-09-2022,16046.42,16314.13,16046.14,16250.72,267.99,-204.3
20-09-2022,16009.94,16175.45,16009.94,16066.88,165.51,-56.94
19-09-2022,15730.77,15967.56,15660.56,15937.33,307,-206.56
16-09-2022,16006.4,16056.68,15747.45,15783.08,309.23,223.32
15-09-2022,16120.28,16235.18,16047.32,16077.6,187.86,42.68
14-09-2022,15940,16240.56,15938.53,16114.9,302.03,-174.9
13-09-2022,16055.37,16178.59,16055.37,16156.42,123.22,-101.05
12-09-2022,16036.36,16096.61,16018.21,16032.51,78.4,3.85
09-09-2022,16051.45,16183.6,15994.43,16013.94,189.17,37.51
08-09-2022,15987.35,16053.42,15934.8,15998.04,118.62,-10.69
07-09-2022,15833.02,15975.63,15831.81,15922.51,143.82,-89.49
06-09-2022,15974.99,16024.81,15846.6,15879.13,178.21,95.86
05-09-2022,15911.02,15976.13,15876.84,15952.21,99.29,-41.19
02-09-2022,15902.71,15961.6,15826.26,15896.05,135.34,6.66
01-09-2022,15859.42,15901.53,15773.67,15844.34,127.86,15.08
30-08-2022,15645.71,15973.95,15645.71,15954.27,328.24,-308.56
29-08-2022,15316.69,15678.6,15316.69,15637.27,361.91,-320.58
26-08-2022,15639.72,15725.4,15567.94,15583.35,157.46,56.37
25-08-2022,15707.63,15801.99,15573.93,15606.45,228.06,101.18
24-08-2022,15638.28,15747.67,15610.73,15676.78,136.94,-38.5
23-08-2022,15549.49,15680.73,15512.4,15659.68,168.33,-110.19
22-08-2022,15586.96,15742.17,15580.7,15622.35,161.47,-35.39
19-08-2022,15857.98,15896.9,15623.45,15650.87,273.45,207.11
18-08-2022,15761.9,15900.62,15759.12,15847.34,141.5,-85.44
17-08-2022,15677.93,15793.64,15677.93,15778.26,115.71,-100.33
16-08-2022,15505.64,15705.84,15496.16,15654.3,209.68,-148.66
12-08-2022,15505.74,15507.88,15364.92,15471.79,142.96,33.95
11-08-2022,15679.81,15715.25,15454.37,15483.98,260.88,195.83
10-08-2022,15675.38,15765.06,15568.43,15597.02,196.63,78.36
08-08-2022,15647.67,15685.06,15611.34,15667.31,73.72,-19.64
05-08-2022,15613.62,15708.43,15608.06,15638.95,100.37,-25.33
04-08-2022,15573.99,15622.68,15472.39,15609.12,150.29,-35.13
03-08-2022,15600.98,15657.22,15430.74,15548.57,226.48,52.41
02-08-2022,15571.92,15760.91,15544.78,15613.99,216.13,-42.07
01-08-2022,15527.74,15547.68,15456.04,15512.43,91.64,15.31
29-07-2022,15442.27,15528.84,15369.65,15489.37,159.19,-47.1
28-07-2022,15367.76,15429.43,15273.63,15395.67,155.8,-27.91
27-07-2022,15190.32,15316.03,15135.99,15295.17,180.04,-104.85
26-07-2022,15415.42,15415.42,15158.06,15184.72,257.36,230.7
25-07-2022,15447.86,15468.85,15361.72,15387.36,107.13,60.5
22-07-2022,15404.74,15471.04,15354.04,15444.94,117,-40.2
21-07-2022,15304.2,15405.59,15294.96,15378.44,110.63,-74.24
20-07-2022,15181.34,15297.74,15110.95,15273.48,186.79,-92.14
19-07-2022,15090.59,15118.78,15014.03,15102.37,104.75,-11.78
18-07-2022,15148.11,15238.39,15050.06,15085.31,188.33,62.8
15-07-2022,14953.28,15102.55,14909.6,15091.92,192.95,-138.64
14-07-2022,14934.81,15025.7,14787.8,14871.68,237.9,63.13
13-07-2022,14821.3,14961.87,14820.12,14903.91,141.75,-82.61
12-07-2022,14861.95,14914.93,14760.84,14778.02,154.09,83.93
11-07-2022,14849.04,14975.96,14824.44,14931.43,151.52,-82.39
08-07-2022,14811.58,14884.73,14788.28,14868.27,96.45,-56.69
07-07-2022,14845.82,14944.12,14768.55,14788.89,175.57,56.93
06-07-2022,14440.95,14810.43,14419.48,14787.48,390.95,-346.53
05-07-2022,14511.85,14511.85,14415.36,14434.3,96.49,77.55
04-07-2022,14128.74,14469.94,14126.83,14456.22,343.11,-327.48
01-07-2022,13722.84,14135.06,13676.1,14105.56,458.96,-382.72
30-06-2022,13782.55,13825.76,13683.9,13766.1,141.86,16.45
29-06-2022,13821.32,13852.24,13752.51,13791.14,99.73,30.18
28-06-2022,13905.47,13944.71,13773.73,13931.99,170.98,-26.52
27-06-2022,13835.48,13946.87,13823.96,13901.52,122.91,-66.04
24-06-2022,13627.96,13797.22,13627.96,13776.13,169.26,-148.17
23-06-2022,13493.72,13610.39,13471.32,13597.97,139.07,-104.25
22-06-2022,13560.92,13616.55,13451.53,13478.87,165.02,82.05
21-06-2022,13470.58,13650.23,13425.55,13604.93,224.68,-134.35
20-06-2022,13247.35,13480.96,13229.01,13424.73,251.95,-177.38
17-06-2022,13364.88,13375.02,13168.08,13263.76,206.94,101.12
16-06-2022,13572.64,13611.12,13327.57,13386.86,283.55,185.78
15-06-2022,13565.71,13567.39,13464.29,13496.63,103.1,69.08
14-06-2022,13548.22,13634.46,13477.67,13536.17,156.79,12.05
13-06-2022,13542.16,13650.72,13507.9,13553.45,142.82,-11.29
10-06-2022,13636.21,13734.9,13592.98,13715.51,141.92,-79.3
09-06-2022,13617.62,13751.35,13524.03,13723.04,227.32,-105.42
08-06-2022,13827.12,13827.12,13621.37,13668.82,205.75,158.3
07-06-2022,13936.82,13936.83,13754.32,13799.53,182.51,137.29
06-06-2022,13973.55,14051.94,13824.22,13997.88,227.72,-24.33
03-06-2022,14134.78,14153.42,13999.95,14009.62,153.47,125.16
02-06-2022,14072.62,14108.13,13913.7,14084.33,194.43,-11.71
