,open,high,low,close,adjclose,volume,ticker
1996-01-01,90.09735870361328,99.20188903808594,89.72259521484375,89.98713684082031,8.56789779663086,10660.0,TATACHEM.NS
1996-01-02,89.98713684082031,89.94304656982422,88.17945861816406,88.48808288574219,8.425169944763184,23361.0,TATACHEM.NS
1996-01-03,88.48808288574219,88.9951171875,88.17945861816406,88.66444396972656,8.441962242126465,13381.0,TATACHEM.NS
1996-01-04,88.66444396972656,88.17945861816406,86.65836334228516,87.73855590820312,8.353805541992188,17577.0,TATACHEM.NS
1996-01-05,87.73855590820312,87.29766082763672,85.97496795654297,86.76858520507812,8.261451721191406,15423.0,TATACHEM.NS
1996-01-08,86.76858520507812,85.97496795654297,84.01297760009766,85.53407287597656,8.143912315368652,32093.0,TATACHEM.NS
1996-01-09,85.53407287597656,85.97496795654297,82.88868713378906,84.7845458984375,8.072547912597656,32887.0,TATACHEM.NS
1996-01-10,84.7845458984375,84.7845458984375,83.46185302734375,84.58614349365234,8.053656578063965,12814.0,TATACHEM.NS
1996-01-11,84.58614349365234,85.3136215209961,83.88070678710938,85.3136215209961,8.122920989990234,22000.0,TATACHEM.NS
1996-01-12,85.3136215209961,85.20339965820312,84.65227508544922,84.65227508544922,8.059953689575195,33794.0,TATACHEM.NS
1996-01-15,84.65227508544922,85.13726043701172,79.36151123046875,84.05706787109375,8.00328254699707,24495.0,TATACHEM.NS
1996-01-16,84.05706787109375,84.43183135986328,83.35163116455078,83.88070678710938,7.986490249633789,46269.0,TATACHEM.NS
1996-01-17,83.88070678710938,83.2193603515625,81.56599426269531,81.56599426269531,7.766100883483887,30052.0,TATACHEM.NS
1996-01-18,81.56599426269531,81.1250991821289,79.36151123046875,79.84649658203125,7.602383613586426,89136.0,TATACHEM.NS
1996-01-19,79.84649658203125,79.80240631103516,78.4797134399414,78.67811584472656,7.491140365600586,34134.0,TATACHEM.NS
1996-01-22,78.67811584472656,79.36151123046875,77.5979232788086,78.06085968017578,7.432367324829102,25516.0,TATACHEM.NS
1996-01-23,78.06085968017578,78.4797134399414,75.8343276977539,77.13497924804688,7.344213962554932,31526.0,TATACHEM.NS
1996-01-24,77.13497924804688,76.49567413330078,74.07073974609375,75.52570343017578,7.190989971160889,13381.0,TATACHEM.NS
1996-01-25,75.52570343017578,75.37139129638672,74.07073974609375,75.19503021240234,7.159505844116211,16670.0,TATACHEM.NS
1996-01-26,75.19503021240234,75.19503021240234,75.19503021240234,75.19503021240234,7.159505844116211,0.0,TATACHEM.NS
1996-01-29,75.19503021240234,75.9445571899414,73.8723373413086,75.4375228881836,7.1825947761535645,21093.0,TATACHEM.NS
1996-01-30,75.4375228881836,78.038818359375,75.8343276977539,76.93657684326172,7.325320720672607,18938.0,TATACHEM.NS
1996-01-31,76.93657684326172,78.4797134399414,76.93657684326172,77.86245727539062,7.413479328155518,7031.0,TATACHEM.NS
1996-02-01,77.86245727539062,79.36151123046875,77.61996459960938,79.14105987548828,7.53521728515625,18371.0,TATACHEM.NS
1996-02-02,79.14105987548828,85.09317779541016,79.80240631103516,83.32958221435547,7.934016704559326,28124.0,TATACHEM.NS
1996-02-05,83.32958221435547,87.73855590820312,83.32958221435547,84.21138000488281,8.017975807189941,32887.0,TATACHEM.NS
1996-02-06,84.21138000488281,87.25357055664062,82.91073608398438,84.36569213867188,8.032665252685547,55341.0,TATACHEM.NS
1996-02-07,84.36569213867188,84.60818481445312,80.6842041015625,84.3436508178711,8.030569076538086,34701.0,TATACHEM.NS
1996-02-08,84.3436508178711,87.73855590820312,83.7704849243164,86.26155090332031,8.213175773620605,38330.0,TATACHEM.NS
1996-02-09,86.26155090332031,93.02932739257812,88.17945861816406,92.89705657958984,8.844959259033203,110229.0,TATACHEM.NS
1996-02-12,92.89705657958984,99.20188903808594,93.36000061035156,96.53446197509766,9.19128704071045,113405.0,TATACHEM.NS
