date,open,high,low,close,volume
2015-02-02,3148.35,3166.15,3039.0,3082.0,258276
2015-02-03,3060.0,3188.0,3060.0,3104.9,407595
2015-02-04,3106.1,3126.4,3068.2,3089.05,219711
2015-02-05,3109.9,3109.9,3042.0,3048.8,130272
2015-02-06,3030.05,3048.0,2995.0,3005.0,129693
2015-02-09,2990.0,2990.0,2941.45,2970.25,127505
2015-02-10,2960.0,3025.95,2941.5,2981.95,187765
2015-02-11,2976.0,3019.95,2976.0,3004.7,170630
2015-02-12,3011.15,3095.0,3000.65,3091.05,187045
2015-02-13,3071.1,3135.0,3068.0,3107.7,193616
2015-02-16,3120.25,3150.0,3070.15,3079.15,177451
2015-02-18,3082.3,3127.0,3082.3,3113.3,201449
2015-02-19,3119.9,3128.9,3008.1,3078.65,165567
2015-02-20,3119.95,3125.1,3006.2,3019.0,200380
2015-02-23,3025.6,3036.4,2970.0,2977.9,199883
2015-02-24,2989.95,3003.0,2965.15,2990.0,118072
2015-02-25,2998.0,3054.9,2992.85,3045.0,284679
2015-02-26,3065.0,3065.0,2952.5,2979.0,218103
2015-02-27,3007.9,3135.95,2995.5,3125.0,251600
2015-02-28,3150.0,3178.95,3085.6,3140.0,124368
2015-03-02,3156.55,3379.0,3150.3,3377.0,446495
2015-03-03,3370.0,3375.0,3310.5,3364.0,246724
2015-03-04,3372.95,3398.0,3292.5,3300.0,278801
2015-03-05,3261.9,3329.2,3153.05,3177.0,488720
2015-03-09,3175.65,3175.65,3053.65,3067.85,313817
2015-03-10,3094.95,3108.65,3006.0,3010.65,538767
2015-03-11,3030.0,3042.7,2975.0,2986.0,309541
2015-03-12,3005.0,3029.2,2995.85,3007.0,483498
2015-03-13,3035.0,3035.0,2935.0,2944.8,253303
2015-03-16,2916.5,2937.5,2890.0,2909.0,199180
2015-03-17,2946.5,2964.8,2891.1,2929.9,290758
2015-03-18,2950.6,2964.5,2910.05,2924.05,291862
2015-03-19,2948.9,2993.3,2874.05,2885.0,354390
2015-03-20,2885.25,2887.9,2835.6,2857.2,284636
2015-03-23,2862.25,2878.55,2825.0,2829.05,212974
2015-03-24,2845.95,2845.95,2790.65,2791.1,389820
2015-03-25,2818.95,2829.7,2750.9,2754.0,388991
2015-03-26,2750.0,2826.25,2734.7,2817.9,433040
2015-03-27,2810.1,2815.6,2763.9,2802.0,267073
2015-03-30,2810.05,2957.6,2810.05,2955.9,340422
2015-03-31,2956.0,2957.5,2855.15,2887.0,464958
2015-04-01,2879.3,2905.85,2857.45,2884.15,371183
2015-04-06,2904.9,2909.7,2871.85,2889.55,136954
2015-04-07,2888.4,2945.0,2878.4,2940.0,283846
2015-04-08,2964.65,3022.5,2940.85,2990.05,270577
2015-04-09,3000.0,3000.0,2947.5,2970.0,192593
2015-04-10,2984.0,3001.8,2945.0,2971.0,118670
2015-04-13,2970.05,3028.9,2952.35,2990.1,237844
2015-04-15,3025.0,3029.9,2970.4,2975.0,584790
2015-04-16,2986.45,3003.0,2860.6,2885.0,301045
2015-04-17,2882.0,2882.0,2797.7,2810.0,505386
2015-04-20,2809.15,2825.65,2750.0,2783.95,496343
2015-04-21,2789.7,2817.0,2732.75,2764.0,127178
2015-04-22,2765.0,2809.0,2752.0,2789.0,361667
2015-04-23,2805.0,2850.0,2711.5,2726.7,220092
2015-04-24,2728.5,2744.25,2690.0,2710.0,361187
2015-04-27,2701.0,2766.0,2638.05,2655.35,583945
2015-04-28,2656.0,2715.9,2626.5,2697.75,461873
2015-04-29,2704.95,2796.0,2663.25,2670.0,292161
2015-04-30,2679.25,2687.5,2635.0,2680.0,465235
2015-05-04,2670.05,2748.0,2612.0,2721.45,303950
2015-05-05,2695.0,2738.0,2689.05,2712.0,150616
2015-05-06,2704.0,2707.8,2598.55,2607.0,481682
2015-05-07,2595.65,2664.0,2531.0,2606.75,342048
2015-05-08,2635.0,2709.9,2626.05,2697.0,391128
2015-05-11,2701.0,2859.9,2701.0,2823.0,500125
2015-05-12,2830.55,2830.55,2730.1,2758.35,320839
2015-05-13,2759.0,2824.0,2755.7,2790.0,211518
2015-05-14,2795.1,2803.65,2733.15,2795.25,169260
2015-05-15,2803.2,2837.25,2793.5,2806.0,165389
2015-05-18,2818.95,2905.0,2780.35,2900.0,269822
2015-05-19,2900.1,2985.0,2894.9,2952.0,639299
2015-05-20,2972.0,3050.6,2970.0,3020.05,631490
2015-05-21,3021.3,3109.85,3006.4,3065.0,706519
2015-05-22,3068.0,3079.0,2969.1,2979.25,303701
2015-05-25,2990.0,2998.9,2924.8,2939.05,160684
2015-05-26,2901.0,2952.0,2880.0,2910.2,271471
2015-05-27,2910.0,2912.0,2860.0,2886.1,335194
2015-05-28,2896.35,2945.0,2854.4,2933.0,335185
2015-05-29,2920.25,2996.9,2904.25,2990.0,415471
2015-06-01,2991.0,3023.95,2971.2,2988.0,199718
2015-06-02,2995.05,3014.95,2893.95,2910.05,189800
2015-06-03,2914.0,2914.0,2820.2,2858.0,135321
2015-06-04,2841.15,2879.0,2814.95,2864.0,113313
2015-06-05,2858.0,2904.4,2782.0,2815.0,217882
2015-06-08,2831.95,2833.3,2782.4,2830.0,110064
2015-06-09,2812.05,2846.0,2789.25,2810.0,147256
2015-06-10,2812.25,2843.0,2800.0,2803.0,172470
2015-06-11,2806.0,2827.95,2690.95,2714.0,263954
2015-06-12,2694.95,2765.1,2680.0,2756.0,178336
2015-06-15,2751.4,2751.4,2704.05,2712.95,137587
2015-06-16,2713.75,2751.0,2691.0,2751.0,94762
2015-06-17,2747.6,2822.4,2738.0,2790.35,259354
2015-06-18,2792.0,2819.0,2763.1,2789.9,233330
2015-06-19,2793.0,2817.0,2793.0,2799.45,252500
2015-06-22,2807.3,2844.4,2795.0,2799.45,130696
2015-06-23,2823.95,2905.8,2806.75,2896.05,331597
2015-06-24,2926.6,2969.9,2830.0,2846.9,482033
2015-06-25,2838.15,2875.5,2829.0,2875.5,316340
2015-06-26,2875.0,2921.0,2867.7,2915.0,228551
2015-06-29,2825.0,2911.25,2825.0,2904.0,175264
2015-06-30,2910.0,3000.0,2906.5,2996.05,411402
2015-07-01,2988.0,3066.0,2981.0,3053.95,347711
2015-07-02,3058.0,3074.0,3030.1,3045.0,317162
2015-07-03,3035.0,3078.95,3033.1,3074.6,232081
2015-07-06,3045.0,3109.85,3037.3,3105.0,261796
2015-07-07,3146.4,3184.0,3103.0,3156.15,259188
2015-07-08,3140.05,3146.0,3080.25,3120.0,331738
2015-07-09,3119.0,3140.0,3082.0,3104.95,204469
2015-07-10,3120.0,3143.95,3093.1,3140.0,264350
2015-07-13,3152.0,3169.95,3121.0,3160.0,225774
2015-07-14,3150.15,3169.0,3125.0,3129.0,102511
2015-07-15,3129.9,3227.75,3129.65,3204.75,292440
2015-07-16,3210.0,3215.5,3159.05,3180.0,274072
2015-07-17,3181.0,3248.0,3170.0,3220.0,233723
2015-07-20,3189.95,3369.0,3119.0,3357.65,1145207
2015-07-21,3362.35,3364.7,3209.0,3215.05,338996
2015-07-22,3203.25,3268.0,3192.6,3257.5,346239
2015-07-23,3269.0,3269.0,3211.0,3240.9,231620
2015-07-24,3229.9,3258.0,3200.0,3200.0,96735
2015-07-27,3196.0,3240.0,3116.05,3122.0,194901
2015-07-28,3140.0,3183.9,3120.0,3135.0,121186
2015-07-29,3140.0,3154.9,3081.9,3134.0,245016
2015-07-30,3147.05,3193.8,3130.1,3190.0,273784
2015-07-31,3170.0,3208.85,3137.75,3144.35,408813
2015-08-03,3149.15,3179.0,3140.15,3154.0,105127
2015-08-04,3189.75,3189.75,3105.0,3143.25,187198
2015-08-05,3156.0,3230.0,3154.8,3220.0,199578
2015-08-06,3201.35,3256.0,3201.35,3221.7,223774
2015-08-07,3200.0,3238.4,3190.0,3197.8,127393
2015-08-10,3202.25,3228.85,3155.6,3165.05,87850
2015-08-11,3188.95,3188.95,3147.8,3168.0,181261
2015-08-12,3147.1,3147.1,3055.0,3077.95,220787
2015-08-13,3065.0,3106.8,3050.15,3075.0,110576
2015-08-14,3086.0,3133.4,3067.5,3106.0,234967
2015-08-17,3118.0,3130.0,3063.45,3075.15,95570
2015-08-18,3084.35,3145.0,3066.2,3124.95,289811
2015-08-19,3142.85,3182.25,3110.0,3167.0,237534
2015-08-20,3146.9,3160.0,3021.0,3060.0,294246
2015-08-21,3030.0,3030.0,2925.8,2960.0,474700
2015-08-24,2909.0,2909.0,2812.95,2840.2,491722
2015-08-25,2855.0,2939.3,2791.0,2890.0,760495
2015-08-26,2881.05,2926.0,2850.0,2888.0,569080
2015-08-27,2930.1,2941.35,2855.0,2901.0,653428
2015-08-28,2918.5,2968.55,2914.0,2947.05,403273
2015-08-31,2948.15,2955.3,2878.4,2882.55,302899
2015-09-01,2868.95,2905.0,2777.85,2822.65,263194
2015-09-02,2869.95,2908.9,2843.35,2895.0,234894
2015-09-03,2883.0,3022.0,2883.0,3005.0,232950
2015-09-04,2990.0,2990.2,2892.0,2911.65,381938
2015-09-07,2912.05,2939.3,2850.0,2859.0,186580
2015-09-08,2879.0,2895.0,2809.0,2881.6,289760
2015-09-09,2911.85,2999.0,2910.0,2985.0,211047
2015-09-10,2930.0,2978.95,2902.1,2978.15,155980
2015-09-11,2993.85,2997.2,2923.7,2933.0,120021
2015-09-14,2951.0,2963.55,2920.1,2948.0,126671
2015-09-15,2964.0,2964.0,2902.9,2911.5,146492
2015-09-16,2926.55,2968.5,2912.0,2912.0,299206
2015-09-18,2945.0,3018.95,2921.0,2921.0,486100
2015-09-21,2921.1,2926.75,2873.15,2903.0,202756
2015-09-22,2920.05,2936.25,2790.0,2795.0,303954
2015-09-23,2788.3,2805.0,2757.7,2775.0,485272
2015-09-24,2783.0,2828.0,2726.95,2826.7,287544
2015-09-28,2771.05,2785.0,2712.45,2717.8,402642
2015-09-29,2700.0,2762.0,2622.05,2695.95,386119
2015-09-30,2727.5,2741.55,2655.8,2679.9,755600
2015-10-01,2669.0,2779.5,2669.0,2775.95,676695
2015-10-05,2793.35,2830.0,2781.2,2815.5,556091
2015-10-06,2831.8,2831.8,2753.15,2768.5,374002
2015-10-07,2756.0,2790.0,2735.1,2745.4,444993
2015-10-08,2760.0,2828.2,2748.85,2816.0,237864
2015-10-09,2830.3,2879.05,2801.8,2820.0,255866
2015-10-12,2840.0,2870.0,2812.15,2846.0,95585
2015-10-13,2844.8,2918.4,2841.7,2900.0,252571
2015-10-14,2906.7,2934.8,2890.75,2916.0,135336
2015-10-15,2910.0,2971.05,2910.0,2957.35,203669
2015-10-16,2963.95,2973.0,2902.0,2947.05,162349
2015-10-19,2973.3,2996.0,2886.0,2900.0,627349
2015-10-20,2928.4,2950.0,2894.0,2921.0,238611
2015-10-21,2919.9,2942.85,2883.0,2895.0,191071
2015-10-23,2912.0,2927.95,2888.0,2897.3,342604
2015-10-26,2909.0,2923.2,2830.0,2841.7,206382
2015-10-27,2839.0,2915.95,2836.35,2902.0,267674
2015-10-28,2902.0,2908.9,2869.0,2897.95,343511
2015-10-29,2894.8,2944.0,2877.6,2928.95,499339
2015-10-30,2945.0,2945.0,2856.05,2906.0,154694
2015-11-02,2905.9,2933.25,2860.25,2921.0,245745
2015-11-03,2933.95,2959.0,2918.9,2923.05,175249
2015-11-04,2935.1,2950.0,2884.0,2885.25,253826
2015-11-05,2891.7,2899.2,2826.1,2835.6,339992
2015-11-06,2841.6,2855.9,2780.0,2798.9,384843
2015-11-09,2750.0,2777.0,2730.0,2765.0,226200
2015-11-10,2755.15,2770.0,2700.0,2703.9,316620
2015-11-11,2733.4,2733.4,2705.0,2715.0,13736
2015-11-13,2702.0,2721.55,2661.2,2686.0,393409
2015-11-16,2685.5,2769.95,2650.0,2741.0,214692
2015-11-17,2750.1,2767.0,2711.3,2727.25,299839
2015-11-18,2739.0,2755.45,2714.15,2732.6,157609
2015-11-19,2745.1,2768.0,2728.0,2751.3,289404
2015-11-20,2721.25,2794.95,2721.25,2776.75,217338
2015-11-23,2787.55,2810.0,2761.35,2800.0,120743
2015-11-24,2805.75,2840.8,2771.3,2778.0,173613
2015-11-26,2799.95,2815.0,2740.3,2804.05,222253
2015-11-27,2810.0,2847.0,2803.0,2831.0,207837
2015-11-30,2830.95,2830.95,2776.1,2805.75,322747
2015-12-01,2811.5,2876.0,2811.5,2868.65,217287
2015-12-02,2870.0,2880.95,2836.5,2841.9,231524
2015-12-03,2840.1,2895.8,2839.0,2852.0,277290
2015-12-04,2853.0,2890.05,2830.3,2864.0,215561
2015-12-07,2878.95,2897.0,2856.3,2868.0,213632
2015-12-08,2864.65,2881.8,2832.0,2838.0,211259
2015-12-09,2851.8,2851.8,2781.35,2785.0,199167
2015-12-10,2789.15,2824.9,2741.15,2808.0,161346
2015-12-11,2819.0,2851.45,2765.0,2796.45,262989
2015-12-14,2778.0,2844.0,2775.0,2835.95,175511
2015-12-15,2833.55,2879.0,2833.55,2870.0,501507
2015-12-16,2879.0,2891.05,2825.0,2860.0,241416
2015-12-17,2865.0,2905.15,2846.05,2890.5,244136
2015-12-18,2890.0,2890.05,2807.05,2814.0,373069
2015-12-21,2807.0,2821.3,2782.75,2799.9,181920
2015-12-22,2798.0,2819.0,2787.6,2795.0,228626
2015-12-23,2805.45,2828.5,2801.5,2810.15,114282
2015-12-24,2828.0,2828.0,2808.05,2808.3,95309
2015-12-28,2824.35,2824.35,2805.0,2813.0,157519
2015-12-29,2818.0,2829.5,2800.65,2818.0,153822
2015-12-30,2820.0,2823.95,2780.0,2781.0,155195
2015-12-31,2780.0,2795.0,2768.25,2774.6,285572
2016-01-04,2814.0,2827.95,2730.1,2750.0,461227
2016-01-05,2773.9,2775.0,2715.2,2730.0,333200
2016-01-06,2744.0,2744.8,2721.5,2730.0,447959
2016-01-07,2709.6,2712.1,2651.35,2674.0,497746
2016-01-08,2680.0,2715.5,2636.2,2705.0,202449
2016-01-11,2681.05,2738.0,2652.0,2728.0,180810
2016-01-12,2731.95,2731.95,2658.35,2670.0,256806
2016-01-13,2685.1,2709.0,2608.8,2689.0,442538
2016-01-14,2631.0,2658.85,2605.0,2629.2,494315
2016-01-15,2638.0,2640.0,2597.0,2624.05,215773
2016-01-18,2618.35,2650.0,2580.0,2650.0,238612
2016-01-19,2650.1,2655.0,2616.0,2642.0,246417
2016-01-20,2630.0,2695.0,2581.25,2624.95,769825
2016-01-21,2676.0,2714.0,2647.1,2696.0,420036
2016-01-22,2727.0,2738.8,2695.0,2720.65,163503
2016-01-25,2747.0,2770.0,2726.0,2752.4,156987
2016-01-27,2760.0,2784.9,2740.0,2745.35,289315
2016-01-28,2764.4,2771.95,2719.85,2750.0,476794
2016-01-29,2751.0,2851.0,2737.8,2836.9,325689
2016-02-01,2860.5,2860.5,2802.0,2809.4,240030
2016-02-02,2819.0,2856.0,2780.35,2790.0,201038
2016-02-03,2774.8,2806.05,2750.25,2759.75,135459
2016-02-04,2786.95,2812.3,2755.25,2775.0,103001
2016-02-05,2785.0,2849.95,2781.25,2840.05,127232
2016-02-08,2849.9,2875.6,2803.3,2803.45,109497
2016-02-09,2803.95,2847.45,2755.4,2777.0,239549
2016-02-10,2769.9,2821.6,2758.1,2818.0,192378
2016-02-11,2808.0,2829.0,2690.35,2704.7,313964
2016-02-12,2734.7,2789.4,2680.0,2773.65,704959
2016-02-15,2775.85,2864.9,2775.0,2800.55,182365
2016-02-16,2835.35,2836.1,2780.35,2781.65,249966
2016-02-17,2787.05,2798.95,2740.1,2765.4,110583
2016-02-18,2798.85,2826.95,2771.15,2795.0,211643
2016-02-19,2799.0,2850.0,2775.0,2844.15,225079
2016-02-22,2850.0,2930.0,2849.0,2917.0,291467
2016-02-23,2929.9,2936.0,2808.75,2811.6,232855
2016-02-24,2815.65,2842.0,2781.4,2809.0,201665
2016-02-25,2807.0,2840.95,2765.6,2790.0,185294
2016-02-26,2806.0,2835.0,2753.0,2770.0,483035
2016-02-29,2809.95,2840.0,2690.05,2770.05,519874
2016-03-01,2780.0,2913.0,2772.95,2883.0,356937
2016-03-02,2915.15,3002.65,2901.9,2971.0,481476
2016-03-03,3003.0,3010.0,2936.1,2947.0,375623
2016-03-04,2956.0,2957.2,2895.3,2915.35,184800
2016-03-08,2918.95,2955.0,2910.0,2950.0,364936
2016-03-09,2958.85,3000.5,2950.05,2994.0,482040
2016-03-10,3010.0,3020.0,2983.0,2990.05,474282
2016-03-11,2997.0,3009.0,2972.05,2993.0,305863
2016-03-14,3008.95,3024.45,2990.75,3009.5,287370
2016-03-15,3001.75,3008.6,2985.0,2987.0,381792
2016-03-16,2996.05,2999.6,2955.0,2962.85,256921
2016-03-17,3002.3,3047.05,2980.8,3031.0,475316
2016-03-18,3046.2,3117.7,3045.0,3110.0,474249
2016-03-21,3119.9,3244.6,3115.7,3226.0,623731
2016-03-22,3235.0,3239.0,3185.1,3207.0,658285
2016-03-23,3216.9,3265.0,3187.0,3190.05,351933
2016-03-28,3210.0,3231.2,3155.05,3174.5,494456
2016-03-29,3175.05,3194.85,3116.1,3130.0,277359
2016-03-30,3170.0,3223.8,3170.0,3202.9,402690
2016-03-31,3214.95,3254.9,3182.1,3234.65,697738
2016-04-01,3240.0,3260.0,3190.0,3204.0,273945
2016-04-04,3224.0,3224.0,3159.5,3163.75,130792
2016-04-05,3158.9,3167.15,3097.0,3100.0,225826
2016-04-06,3123.7,3200.0,3092.5,3195.0,326266
2016-04-07,3200.1,3228.0,3126.05,3150.0,186344
2016-04-08,3155.0,3200.0,3130.2,3165.0,310047
2016-04-11,3159.0,3190.0,3140.4,3150.0,258037
2016-04-12,3150.0,3198.6,3148.0,3165.0,274301
2016-04-13,3195.0,3314.8,3192.7,3260.0,593086
2016-04-18,3280.25,3417.05,3235.7,3406.0,510335
2016-04-20,3414.0,3454.9,3353.65,3378.0,256566
2016-04-21,3382.45,3411.1,3245.0,3249.2,186576
2016-04-22,3246.0,3319.8,3203.1,3275.95,301982
2016-04-25,3288.5,3327.3,3256.85,3288.0,709688
2016-04-26,3293.3,3298.45,3253.25,3261.5,291483
2016-04-27,3251.25,3269.25,3185.35,3198.0,349440
2016-04-28,3206.0,3228.0,3152.45,3168.0,352551
2016-04-29,3172.0,3197.0,3150.0,3156.55,223097
2016-05-02,3170.6,3197.0,3137.3,3166.15,150194
2016-05-03,3190.1,3245.3,3182.2,3214.7,328010
2016-05-04,3196.95,3205.0,3172.95,3175.1,126254
2016-05-05,3170.05,3185.05,3108.0,3118.0,281770
2016-05-06,3129.75,3131.95,3063.0,3104.0,237249
2016-05-09,3105.0,3177.95,3105.0,3150.0,304948
2016-05-10,3159.0,3187.45,3136.95,3183.15,178934
2016-05-11,3149.0,3223.65,3116.35,3193.2,242306
2016-05-12,3200.0,3232.9,3196.9,3216.4,173031
2016-05-13,3212.0,3223.1,3135.1,3145.0,157036
2016-05-16,3163.0,3179.85,3145.1,3168.0,137305
2016-05-17,3185.0,3269.5,3180.45,3250.0,329046
2016-05-18,3250.0,3264.95,3213.5,3220.0,218154
2016-05-19,3216.0,3223.45,3176.0,3190.0,131870
2016-05-20,3189.25,3200.4,3121.05,3130.0,125806
2016-05-23,3136.65,3156.4,3110.1,3130.0,127859
2016-05-24,3120.1,3181.35,3110.5,3179.95,121337
2016-05-25,3195.05,3212.05,3186.0,3208.0,288864
2016-05-26,3219.95,3229.0,3195.1,3220.0,318881
2016-05-27,3220.0,3255.0,3220.0,3242.0,234376
2016-05-30,3257.1,3257.1,3192.05,3209.65,177034
2016-05-31,3221.9,3249.6,3206.75,3240.0,237505
2016-06-01,3227.5,3259.75,3207.85,3235.0,123981
2016-06-02,3230.0,3244.8,3206.5,3225.05,100060
2016-06-03,3244.1,3254.65,3183.3,3189.5,169075
2016-06-06,3197.9,3244.0,3190.4,3229.0,153180
2016-06-07,3232.9,3341.7,3230.0,3336.5,409784
2016-06-08,3350.0,3390.0,3345.0,3372.0,295617
2016-06-09,3384.0,3400.0,3365.0,3377.0,341942
2016-06-10,3364.9,3395.75,3348.2,3390.0,247162
2016-06-13,3366.9,3405.9,3328.2,3392.0,192584
2016-06-14,3390.0,3407.7,3311.1,3318.95,115058
2016-06-15,3325.0,3374.0,3306.2,3361.1,187673
2016-06-16,3353.0,3353.0,3261.0,3288.2,320014
2016-06-17,3313.7,3323.9,3276.75,3286.75,143677
2016-06-20,3282.95,3374.95,3271.05,3369.0,160754
2016-06-21,3373.0,3373.0,3326.05,3352.3,96446
2016-06-22,3353.75,3359.45,3300.05,3308.05,186558
2016-06-23,3318.9,3349.4,3300.0,3335.65,306593
2016-06-24,3270.0,3333.4,3200.0,3299.95,159851
2016-06-27,3294.8,3402.0,3291.1,3393.6,230558
2016-06-28,3410.0,3437.25,3390.0,3396.0,218992
2016-06-29,3411.05,3419.95,3370.1,3397.4,276473
2016-06-30,3406.0,3419.9,3390.0,3410.8,437935
2016-07-01,3400.0,3485.0,3400.0,3424.0,248209
2016-07-04,3429.05,3475.0,3403.0,3405.0,185908
2016-07-05,3448.95,3465.0,3361.0,3380.0,358699
2016-07-07,3375.15,3419.0,3346.35,3385.0,202781
2016-07-08,3377.0,3409.9,3369.1,3396.0,308030
2016-07-11,3425.25,3472.0,3419.1,3455.95,217920
2016-07-12,3454.4,3498.95,3454.1,3482.75,301251
2016-07-13,3495.95,3495.95,3425.0,3426.0,254393
2016-07-14,3440.0,3511.0,3440.0,3500.0,283222
2016-07-15,3510.9,3558.85,3507.0,3520.05,233666
2016-07-18,3535.1,3548.0,3482.8,3500.0,148841
2016-07-19,3525.75,3561.4,3475.5,3499.55,751596
2016-07-20,3507.75,3569.9,3507.75,3569.0,217274
2016-07-21,3559.0,3665.0,3559.0,3644.95,359321
2016-07-22,3645.0,3652.0,3603.5,3643.0,172502
2016-07-25,3629.95,3680.0,3612.0,3665.0,293984
2016-07-26,3670.0,3697.4,3615.6,3635.4,163862
2016-07-27,3642.1,3690.0,3637.15,3655.0,164007
2016-07-28,3653.85,3714.9,3644.55,3669.85,236291
2016-07-29,3684.95,3739.35,3669.85,3722.0,214905
